"Nom";"Entité";"Éditeur";"Versions - Nom";"Versions - Système d'exploitation";"Nombre d'installations";"Licences - Nombre de licences";
"7zip";"Entité racine";"Debian";"24.09+dfsg-8";"Debian GNU/Linux 13 (trixie)";"4";"0";
"accountsservice";"Entité racine";"Debian";"23.13.9-7<br>22.08.8-6";"Debian GNU/Linux 13 (trixie)<br>Debian GNU/Linux 12 (bookworm)";"5";"0";
"acl";"Entité racine";"Debian";"2.3.2-2+b1<br>2.3.1-3";"Debian GNU/Linux 13 (trixie)<br>Debian GNU/Linux 12 (bookworm)";"5";"0";
"adduser";"Entité racine";"Debian";"3.152<br>3.134";"Debian GNU/Linux 13 (trixie)<br>Debian GNU/Linux 12 (bookworm)";"5";"0";
"adwaita-icon-theme";"Entité racine";"Debian";"48.1-1<br>43-1";"Debian GNU/Linux 13 (trixie)<br>Debian GNU/Linux 12 (bookworm)";"5";"0";
"alsa-topology-conf";"Entité racine";"Debian";"1.2.5.1-3<br>1.2.5.1-2";"Debian GNU/Linux 13 (trixie)<br>Debian GNU/Linux 12 (bookworm)";"5";"0";
"alsa-ucm-conf";"Entité racine";"Debian";"1.2.14-1<br>1.2.8-1";"Debian GNU/Linux 13 (trixie)<br>Debian GNU/Linux 12 (bookworm)";"5";"0";
"alsa-utils";"Entité racine";"Debian";"1.2.14-1<br>1.2.8-1";"Debian GNU/Linux 13 (trixie)<br>Debian GNU/Linux 12 (bookworm)";"5";"0";
"amd64-microcode";"Entité racine";"Debian";"3.20250311.1";"Debian GNU/Linux 13 (trixie)";"1";"0";
"anacron";"Entité racine";"Debian";"2.3-43<br>2.3-36";"Debian GNU/Linux 13 (trixie)<br>Debian GNU/Linux 12 (bookworm)";"5";"0";
"apache2";"Entité racine";"Debian";"2.4.65-2<br>2.4.65-1~deb12u1";"Debian GNU/Linux 13 (trixie)<br>Debian GNU/Linux 12 (bookworm)";"4";"0";
"apache2-bin";"Entité racine";"Debian";"2.4.65-2<br>2.4.65-1~deb12u1";"Debian GNU/Linux 13 (trixie)<br>Debian GNU/Linux 12 (bookworm)";"5";"0";
"apache2-data";"Entité racine";"Debian";"2.4.65-2<br>2.4.65-1~deb12u1";"Debian GNU/Linux 13 (trixie)<br>Debian GNU/Linux 12 (bookworm)";"4";"0";
"apache2-utils";"Entité racine";"Debian";"2.4.65-2<br>2.4.65-1~deb12u1";"Debian GNU/Linux 13 (trixie)<br>Debian GNU/Linux 12 (bookworm)";"4";"0";
"apparmor";"Entité racine";"Debian";"4.1.0-1<br>3.0.8-3";"Debian GNU/Linux 13 (trixie)<br>Debian GNU/Linux 12 (bookworm)";"5";"0";
"appstream";"Entité racine";"Debian";"1.0.5-1<br>0.16.1-2";"Debian GNU/Linux 13 (trixie)<br>Debian GNU/Linux 12 (bookworm)";"5";"0";
"apt";"Entité racine";"Debian";"3.0.3<br>2.6.1";"Debian GNU/Linux 13 (trixie)<br>Debian GNU/Linux 12 (bookworm)";"5";"0";
"apt-config-icons";"Entité racine";"Debian";"1.0.5-1<br>0.16.1-2";"Debian GNU/Linux 13 (trixie)<br>Debian GNU/Linux 12 (bookworm)";"5";"0";
"apt-listchanges";"Entité racine";"Debian";"4.8<br>3.24";"Debian GNU/Linux 13 (trixie)<br>Debian GNU/Linux 12 (bookworm)";"5";"0";
"apt-utils";"Entité racine";"Debian";"3.0.3<br>2.6.1";"Debian GNU/Linux 13 (trixie)<br>Debian GNU/Linux 12 (bookworm)";"5";"0";
